Y,Timestamp,X,Page,Interaction Type
352.5,1524765592573,734,magnetbox,
671,1524765611953,220.5,magnetbox,
622,1524765618161,463.5,magnetbox,
609,1524765626251,699.5,magnetbox,
865.5,1524765632649,215.5,magnetbox,
851,1524765642472,487,magnetbox,
860,1524765649071,705,magnetbox,
364,1524769435407,211,magnetbox,
399.5,1524769450596,488.5,magnetbox,
399.5,1524769463869,733,magnetbox,
638.5,1524769471617,212.5,magnetbox,
657,1524769487462,454.5,magnetbox,
683.5,1524769499680,728,magnetbox,
898.5,1524769510655,230,magnetbox,
876,1524769522418,463.5,magnetbox,
899.5,1524769529608,731,magnetbox,
403.5,1524769536696,231.5,magnetbox,
381.5,1524769545503,457.5,magnetbox,
396.5,1524769560964,718,magnetbox,
671.5,1524769572395,219.5,magnetbox,
659.5,1524769584350,449,magnetbox,
633.5,1524769589710,702.5,magnetbox,
897,1524769594854,210,magnetbox,
889.5,1524769597319,458,magnetbox,
888,1524769598955,716.5,magnetbox,
404,1524775416916,212,magnetbox,
418.5,1524775428207,468.5,magnetbox,
407,1524775435945,688.5,magnetbox,
632,1524775443330,232.5,magnetbox,
634,1524775451325,455.5,magnetbox,
656.5,1524775457893,697.5,magnetbox,
861,1524775465453,212.5,magnetbox,
914,1524775473311,465.5,magnetbox,
882,1524775481700,704.5,magnetbox,
409.5,1524775489062,210.5,magnetbox,
359,1524775494767,468,magnetbox,
392.5,1524775501340,723.5,magnetbox,
642,1524775509465,220.5,magnetbox,
637.5,1524775517183,463,magnetbox,
661,1524775526356,716.5,magnetbox,
878,1524775535510,219,magnetbox,
870.5,1524775543546,462.5,magnetbox,
878.5,1524775550037,721.5,magnetbox,
385.5,1524780690445,237,magnetbox,
347.5,1524780699245,458.5,magnetbox,
370,1524780711660,711.5,magnetbox,
645,1524780720684,217.5,magnetbox,
665.5,1524780731006,464.5,magnetbox,
609,1524780747209,737,magnetbox,
894,1524780752585,212,magnetbox,
912.5,1524780764064,463,magnetbox,
890.5,1524780771998,721,magnetbox,
390,1524780781584,224.5,magnetbox,
384,1524780790582,469.5,magnetbox,
371,1524780800903,695,magnetbox,
653,1524780812147,235.5,magnetbox,
658.5,1524780820139,467,magnetbox,
639,1524780830777,744,magnetbox,
908,1524780836886,243,magnetbox,
859.5,1524780848430,457,magnetbox,
889.5,1524780852925,715.5,magnetbox,
402.5,1524336600128,212,magnetbox,touch
410,1524336610232,478,magnetbox,touch
414,1524336616568,677.5,magnetbox,touch
664,1524336623362,213,magnetbox,touch
661,1524336631272,475,magnetbox,touch
670,1524336640958,673,magnetbox,touch
888.5,1524336647778,210.5,magnetbox,touch
899.5,1524336656990,441,magnetbox,touch
889.5,1524336664770,722.5,magnetbox,touch
396.5,1524336679783,205,magnetbox,touch
407.5,1524336688670,482.5,magnetbox,touch
408.5,1524336696932,683.5,magnetbox,touch
673.5,1524336706088,182,magnetbox,touch
631.5,1524336718088,445,magnetbox,touch
664.5,1524336727946,732,magnetbox,touch
850.5,1524336741118,164.5,magnetbox,touch
875,1524336747483,465,magnetbox,touch
894,1524336756860,726,magnetbox,touch
378.5,1524339664741,194,magnetbox,touch
370.5,1524339673952,442.5,magnetbox,touch
379.5,1524339687155,710.5,magnetbox,touch
620.5,1524339695624,207.5,magnetbox,touch
665.5,1524339705331,468,magnetbox,touch
630,1524339718121,704.5,magnetbox,touch
895.5,1524339726302,229,magnetbox,touch
872,1524339737129,452.5,magnetbox,touch
882,1524339740426,688.5,magnetbox,touch
379,1524339747841,198,magnetbox,touch
359,1524339753462,451.5,magnetbox,touch
390,1524339760925,692.5,magnetbox,touch
661.5,1524339770539,171,magnetbox,touch
624,1524339776814,476.5,magnetbox,touch
661,1524339783695,731.5,magnetbox,touch
919,1524339792245,201.5,magnetbox,touch
853.5,1524339803516,453.5,magnetbox,touch
880,1524339810059,722.5,magnetbox,touch
379,1524339820466,198.5,magnetbox,touch
354,1524346540751,193,magnetbox,touch
393.5,1524346549544,435.5,magnetbox,touch
371,1524346562023,693.5,magnetbox,touch
640,1524346578583,219.5,magnetbox,touch
628,1524346582479,210.5,magnetbox,touch
665.5,1524346588546,456.5,magnetbox,touch
646.5,1524346596169,713.5,magnetbox,touch
894,1524346600774,212,magnetbox,touch
870,1524346615011,695.5,magnetbox,touch
395,1524346627747,219,magnetbox,touch
434,1524346642961,440,magnetbox,touch
630,1524346662924,192,magnetbox,touch
648.5,1524346667862,452.5,magnetbox,touch
654,1524346673510,692.5,magnetbox,touch
884,1524346681861,210.5,magnetbox,touch
881,1524346690932,465,magnetbox,touch
902.5,1524346696929,461.5,magnetbox,touch
895.5,1524346697089,456.5,magnetbox,touch
378.5,1524527628915,245,magnetbox,touch
393,1524527637681,479.5,magnetbox,touch
408,1524527646692,702.5,magnetbox,touch
625.5,1524527653840,221,magnetbox,touch
639,1524527660832,465.5,magnetbox,touch
656.5,1524527671214,711,magnetbox,touch
866,1524527680912,207.5,magnetbox,touch
902,1524527688179,476,magnetbox,touch
889.5,1524527697100,745,magnetbox,touch
386.5,1524527707106,223.5,magnetbox,touch
403,1524527715081,479,magnetbox,touch
417,1524527726864,748.5,magnetbox,touch
619.5,1524527743792,236,magnetbox,touch
634.5,1524527751820,500.5,magnetbox,touch
654.5,1524527759559,747.5,magnetbox,touch
882.5,1524527769556,214.5,magnetbox,touch
889.5,1524527777456,438,magnetbox,touch
867,1524527790537,704,magnetbox,touch
414.5,1524850000000,230.5,magnetbox,touch
400,1524850000000,483.5,magnetbox,touch
395,1524850000000,739,magnetbox,touch
658,1524850000000,232,magnetbox,touch
642,1524850000000,490,magnetbox,touch
640.5,1524850000000,723.5,magnetbox,touch
891.5,1524850000000,254.5,magnetbox,touch
893,1524850000000,495.5,magnetbox,touch
891.5,1524850000000,727,magnetbox,touch
395.5,1524850000000,243,magnetbox,touch
397,1524850000000,480.5,magnetbox,touch
410.5,1524850000000,712.5,magnetbox,touch
608,1524850000000,264.5,magnetbox,touch
633,1524850000000,479.5,magnetbox,touch
658.5,1524850000000,734.5,magnetbox,touch
885.5,1524850000000,241,magnetbox,touch
907.5,1524850000000,492,magnetbox,touch
