Y,Timestamp,X,Page,Interaction Type
626,1524350000000,457,zoombox,touch
650.5,1524350000000,712.5,zoombox,touch
906,1524350000000,231,zoombox,touch
886.5,1524350000000,695,zoombox,touch
374.5,1524530000000,224,zoombox,touch
391,1524530000000,486,zoombox,touch
423.5,1524530000000,746,zoombox,touch
660,1524530000000,234.5,zoombox,touch
644.5,1524530000000,473.5,zoombox,touch
666,1524530000000,728.5,zoombox,touch
870,1524530000000,223.5,zoombox,touch
864.5,1524530000000,466,zoombox,touch
875,1524530000000,709.5,zoombox,touch
371,1524530000000,217,zoombox,touch
416,1524530000000,246.5,zoombox,touch
400,1524530000000,468,zoombox,touch
359,1524530000000,711,zoombox,touch
624,1524530000000,210,zoombox,touch
631,1524530000000,465,zoombox,touch
621,1524530000000,714.5,zoombox,touch
891,1524530000000,223,zoombox,touch
874.5,1524530000000,472.5,zoombox,touch
888.5,1524530000000,710.5,zoombox,touch
881.5,1524530000000,707.5,zoombox,touch
391,1524699033299,209.5,zoombox,touch
390.5,1524699043387,468,zoombox,touch
380,1524699056279,727.5,zoombox,touch
630,1524699066561,231.5,zoombox,touch
643,1524699079303,457.5,zoombox,touch
629,1524699093195,713,zoombox,touch
884.5,1524699103687,219.5,zoombox,touch
877,1524699111207,461.5,zoombox,touch
888.5,1524699123991,713.5,zoombox,touch
387.5,1524699133664,213,zoombox,touch
388.5,1524699144169,463.5,zoombox,touch
391,1524699155484,716.5,zoombox,touch
638.5,1524699163619,212.5,zoombox,touch
629.5,1524699173041,468.5,zoombox,touch
647.5,1524699178828,716.5,zoombox,touch
890.5,1524699187091,206.5,zoombox,touch
898.5,1524699191191,459,zoombox,touch
891.5,1524699195664,734,zoombox,touch
391,1524699033299,209.5,zoombox,
390.5,1524699043387,468,zoombox,
380,1524699056279,727.5,zoombox,
630,1524699066561,231.5,zoombox,
643,1524699079303,457.5,zoombox,
629,1524699093195,713,zoombox,
884.5,1524699103687,219.5,zoombox,
877,1524699111207,461.5,zoombox,
888.5,1524699123991,713.5,zoombox,
387.5,1524699133664,213,zoombox,
388.5,1524699144169,463.5,zoombox,
391,1524699155484,716.5,zoombox,
638.5,1524699163619,212.5,zoombox,
629.5,1524699173041,468.5,zoombox,
647.5,1524699178828,716.5,zoombox,
890.5,1524699187091,206.5,zoombox,
898.5,1524699191191,459,zoombox,
891.5,1524699195664,734,zoombox,
378,1524765213061,177,zoombox,
414,1524765222601,458.5,zoombox,
356.5,1524765232186,728,zoombox,
632,1524765239375,203.5,zoombox,
635,1524765252939,471.5,zoombox,
645.5,1524765257272,706,zoombox,
880,1524765265014,238.5,zoombox,
856,1524765274734,490.5,zoombox,
871.5,1524765283667,724.5,zoombox,
416.5,1524765294702,219,zoombox,
407,1524765303668,479.5,zoombox,
418,1524765314214,724.5,zoombox,
667,1524765328066,222.5,zoombox,
665.5,1524765336879,451.5,zoombox,
628,1524765341592,727,zoombox,
885,1524765349970,208.5,zoombox,
875,1524765363909,483,zoombox,
893,1524765368932,732,zoombox,
398.5,1524769212038,225,zoombox,
375,1524769221694,447,zoombox,
417,1524769234105,707,zoombox,
632,1524769244275,223.5,zoombox,
639.5,1524769251798,467,zoombox,
658.5,1524769261946,716.5,zoombox,
878,1524769270588,224,zoombox,
884.5,1524769279279,470.5,zoombox,
881.5,1524769290253,712.5,zoombox,
392.5,1524769297101,211.5,zoombox,
401.5,1524769306669,446.5,zoombox,
400.5,1524769318881,716,zoombox,
594.5,1524769335644,218.5,zoombox,
653.5,1524769345429,481.5,zoombox,
646.5,1524769356641,717,zoombox,
904.5,1524769365941,227.5,zoombox,
869.5,1524769371567,455.5,zoombox,
898.5,1524769374345,712,zoombox,
373,1524775169303,213.5,zoombox,
397.5,1524775183390,488.5,zoombox,
394.5,1524775193721,717,zoombox,
637,1524775201664,216,zoombox,
648.5,1524775210455,457.5,zoombox,
649,1524775219600,699,zoombox,
875,1524775230590,210.5,zoombox,
896.5,1524775240563,467,zoombox,
869,1524775251841,685.5,zoombox,
392,1524775259443,218,zoombox,
388,1524775267854,444.5,zoombox,
400.5,1524775276523,705.5,zoombox,
673,1524775283894,215.5,zoombox,
638,1524775292583,465,zoombox,
635,1524775299817,711.5,zoombox,
883.5,1524775306792,215,zoombox,
889,1524775313249,471.5,zoombox,
899.5,1524775321722,688.5,zoombox,
339,1524780439105,212,zoombox,
394.5,1524780450500,476.5,zoombox,
525.5,1524780466960,749,zoombox,
653,1524780481654,221,zoombox,
629.5,1524780494424,464,zoombox,
654,1524780500619,731,zoombox,
884.5,1524780511374,217,zoombox,
876.5,1524780518616,474,zoombox,
907.5,1524780523749,681,zoombox,
383.5,1524780530925,221.5,zoombox,
380,1524780543110,449.5,zoombox,
406,1524780551702,711.5,zoombox,
657.5,1524780561312,221,zoombox,
662.5,1524780569809,460.5,zoombox,
674,1524780579299,692,zoombox,
876.5,1524780586485,222,zoombox,
891.5,1524780595933,460.5,zoombox,
885.5,1524780601241,717.5,zoombox,
382,1524336334190,189,zoombox,touch
383.5,1524336341303,460,zoombox,touch
398.5,1524336349324,722.5,zoombox,touch
643.5,1524336356841,213,zoombox,touch
577.5,1524336364413,429,zoombox,touch
646.5,1524336371114,703.5,zoombox,touch
881.5,1524336378237,211.5,zoombox,touch
906,1524336384576,484.5,zoombox,touch
878,1524336402074,700.5,zoombox,touch
394,1524336417122,210.5,zoombox,touch
381,1524336425988,453,zoombox,touch
405,1524336434382,720,zoombox,touch
629,1524336445525,202.5,zoombox,touch
642.5,1524336453878,468.5,zoombox,touch
634,1524336461419,719.5,zoombox,touch
883.5,1524336471195,214,zoombox,touch
888.5,1524336477431,457.5,zoombox,touch
893.5,1524336484932,720,zoombox,touch
355.5,1524339411892,194,zoombox,touch
358.5,1524339421608,473.5,zoombox,touch
367,1524339427350,717,zoombox,touch
624,1524339433493,192,zoombox,touch
625.5,1524339439027,459.5,zoombox,touch
627,1524339445096,699.5,zoombox,touch
899.5,1524339451445,223,zoombox,touch
883.5,1524339457678,428.5,zoombox,touch
879,1524339464126,679.5,zoombox,touch
374,1524339468897,198.5,zoombox,touch
366.5,1524339477023,452.5,zoombox,touch
347,1524339483071,692,zoombox,touch
658.5,1524339494770,201.5,zoombox,touch
622,1524339500856,436.5,zoombox,touch
634.5,1524339511754,673,zoombox,touch
872,1524339521481,220.5,zoombox,touch
876,1524339529458,435,zoombox,touch
858,1524339538161,722.5,zoombox,touch
354,1524339546218,196.5,zoombox,touch
370,1524339555475,440.5,zoombox,touch
615.5,1524339569035,199,zoombox,touch
401.5,1524346240590,213,zoombox,touch
391,1524346254292,468.5,zoombox,touch
397,1524346261770,708,zoombox,touch
623,1524346276034,216.5,zoombox,touch
392.5,1524346282187,225,zoombox,touch
374.5,1524346284129,435.5,zoombox,touch
673.5,1524346287363,461.5,zoombox,touch
635,1524346290327,696,zoombox,touch
875,1524346294421,204,zoombox,touch
882,1524346297738,451,zoombox,touch
908.5,1524346300589,721,zoombox,touch
909.5,1524346315055,695.5,zoombox,touch
407.5,1524346328398,210.5,zoombox,touch
389,1524346337896,458,zoombox,touch
383,1524346339844,464.5,zoombox,touch
390.5,1524346353269,699,zoombox,touch
627,1524346362276,202,zoombox,touch
626,1524346365263,457,zoombox,touch
650.5,1524346368653,712.5,zoombox,touch
906,1524346371364,231,zoombox,touch
886.5,1524346395639,695,zoombox,touch
374.5,1524527369107,224,zoombox,touch
391,1524527378928,486,zoombox,touch
423.5,1524527388079,746,zoombox,touch
660,1524527400569,234.5,zoombox,touch
644.5,1524527408698,473.5,zoombox,touch
666,1524527417836,728.5,zoombox,touch
870,1524527427708,223.5,zoombox,touch
864.5,1524527434581,466,zoombox,touch
875,1524527448689,709.5,zoombox,touch
371,1524527457342,217,zoombox,touch
416,1524527468449,246.5,zoombox,touch
400,1524527473582,468,zoombox,touch
359,1524527484206,711,zoombox,touch
624,1524527494740,210,zoombox,touch
631,1524527504552,465,zoombox,touch
621,1524527511316,714.5,zoombox,touch
891,1524527519449,223,zoombox,touch
874.5,1524527526658,472.5,zoombox,touch
888.5,1524527533560,710.5,zoombox,touch
881.5,1524527534289,707.5,zoombox,touch
389,1524850000000,222.5,zoombox,touch
422.5,1524850000000,477,zoombox,touch
405.5,1524850000000,726,zoombox,touch
649,1524850000000,222.5,zoombox,touch
654.5,1524850000000,473.5,zoombox,touch
652.5,1524850000000,728,zoombox,touch
862,1524850000000,214.5,zoombox,touch
898,1524850000000,484.5,zoombox,touch
871.5,1524850000000,733,zoombox,touch
391.5,1524850000000,227,zoombox,touch
392,1524850000000,493,zoombox,touch
384.5,1524850000000,717,zoombox,touch
645.5,1524850000000,235.5,zoombox,touch
671.5,1524850000000,496.5,zoombox,touch
673,1524850000000,767,zoombox,touch
918,1524850000000,241,zoombox,touch
923,1524850000000,475.5,zoombox,touch
903,1524850000000,736.5,zoombox,touch
412,1524860000000,202,zoombox,touch
376,1524860000000,461.5,zoombox,touch
405.5,1524860000000,724,zoombox,touch
641,1524860000000,216,zoombox,touch
655.5,1524860000000,456,zoombox,touch
659,1524860000000,712,zoombox,touch
884.5,1524860000000,211,zoombox,touch
911.5,1524860000000,472,zoombox,touch
908.5,1524860000000,689,zoombox,touch
390,1524860000000,217,zoombox,touch
408,1524860000000,467,zoombox,touch
417,1524860000000,712,zoombox,touch
648.5,1524860000000,202.5,zoombox,touch
639,1524860000000,458.5,zoombox,touch
640,1524860000000,707.5,zoombox,touch
886,1524860000000,218.5,zoombox,touch
923.5,1524860000000,460,zoombox,touch
899,1524860000000,714.5,zoombox,touch
392,1524870000000,221,zoombox,touch
398,1524870000000,452.5,zoombox,touch
401,1524870000000,733.5,zoombox,touch
651.5,1524870000000,218.5,zoombox,touch
615,1524870000000,485.5,zoombox,touch
642.5,1524870000000,714,zoombox,touch
893.5,1524870000000,228.5,zoombox,touch
896,1524870000000,471.5,zoombox,touch
898,1524870000000,750,zoombox,touch
361,1524870000000,217,zoombox,touch
382.5,1524870000000,473,zoombox,touch
634.5,1524870000000,474.5,zoombox,touch
623.5,1524870000000,725,zoombox,touch
885,1524870000000,207,zoombox,touch
899.5,1524870000000,464,zoombox,touch
875.5,1524870000000,699.5,zoombox,touch
376.5,1524890000000,182,zoombox,touch
356.5,1524890000000,441,zoombox,touch
377.5,1524890000000,717,zoombox,touch
613.5,1524890000000,211,zoombox,touch
619.5,1524890000000,489,zoombox,touch
579,1524890000000,710.5,zoombox,touch
824.5,1524890000000,217,zoombox,touch
881.5,1524890000000,483,zoombox,touch
870.5,1524890000000,694.5,zoombox,touch
362,1524890000000,188,zoombox,touch
329,1524890000000,460,zoombox,touch
362,1524890000000,678,zoombox,touch
662.5,1524890000000,189.5,zoombox,touch
601.5,1524890000000,460,zoombox,touch
649.5,1524890000000,745,zoombox,touch
861,1524890000000,210.5,zoombox,touch
853,1524890000000,455.5,zoombox,touch
843,1524890000000,687,zoombox,touch
380.5,1524937155889,189,zoombox,touch
376,1524937166557,453.5,zoombox,touch
425.5,1524937169560,700,zoombox,touch
637,1524937195763,470.5,zoombox,touch
656.5,1524937203638,716,zoombox,touch
893,1524937210209,220.5,zoombox,touch
879,1524937234288,212,zoombox,touch
881,1524937238112,465,zoombox,touch
893.5,1524937256188,743,zoombox,touch
398.5,1524937271086,165.5,zoombox,touch
365.5,1524937286345,487.5,zoombox,touch
365,1524937291025,731,zoombox,touch
643.5,1524937319266,486.5,zoombox,touch
